dataset,category,synthetic,gpu_name,cuda_version,cuda_visible_devices,warmup_iters,timed_iters,cold_iters,M,K,nnz,N,avg_nnz_per_row,cv_d,max_nnz_per_row,kernel,ms_warm,preprocess_ms,cold_exec_ms,ms_cold,ms_cusparse_warm,ms_cusparse_cold,ms_csr_direct_warm,ms_csr_direct_cold,speedup_vs_cusparse_warm,speedup_vs_cusparse_cold,speedup_vs_csr_direct_warm,speedup_vs_csr_direct_cold,correct,soft_fail,hard_fail,max_error,tolerance,error
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,128,5.26182,1.175713,65,TC_DIRECT,0.027827,21.481292,0.080384,21.561676,0.03008,1.087715,0.03476,0.045261,1.080957,0.050447,1.249126,0.002099,True,False,False,7.62939453125e-06,0.0806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,128,5.26182,1.175713,65,COMMUNITY_TC,0.027474,21.311091,0.095437,21.406528,0.03008,1.087715,0.03476,0.045261,1.094856,0.050812,1.265188,0.002114,True,False,False,7.62939453125e-06,0.0806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,128,5.26182,1.175713,65,SEGMENT_HYBRID,0.045594,0.297898,0.072397,0.370295,0.03008,1.087715,0.03476,0.045261,0.659742,2.93743,0.762381,0.122229,True,False,False,4.76837158203125e-06,0.0806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,128,5.26182,1.175713,65,CUSPARSE,0.03008,1.053206,0.034509,1.087715,0.03008,1.087715,0.03476,0.045261,1.0,1.0,1.155575,0.041611,True,False,False,0.0,0.0,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,256,5.26182,1.175713,65,CSR_DIRECT,0.084598,0.0,0.094003,0.094003,0.068393,1.108451,0.084598,0.094003,0.808449,11.791627,1.0,1.0,True,False,False,9.5367431640625e-06,0.00806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,256,5.26182,1.175713,65,RODE_ENHANCED,0.094643,0.161666,0.116941,0.278607,0.068393,1.108451,0.084598,0.094003,0.72264,3.978553,0.89386,0.337405,True,False,False,7.62939453125e-06,0.00806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,256,5.26182,1.175713,65,ZERO_OVERHEAD_CSR,0.097843,0.112359,0.1152,0.227559,0.068393,1.108451,0.084598,0.094003,0.699006,4.871047,0.864626,0.413094,True,False,False,9.5367431640625e-06,0.00806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,256,5.26182,1.175713,65,TC_DIRECT,0.066775,22.100135,0.116531,22.216666,0.068393,1.108451,0.084598,0.094003,1.024229,0.049893,1.266907,0.004231,True,False,False,9.5367431640625e-06,0.0806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,256,5.26182,1.175713,65,COMMUNITY_TC,0.06507,22.777805,0.116634,22.894438,0.068393,1.108451,0.084598,0.094003,1.051066,0.048416,1.300102,0.004106,True,False,False,9.5367431640625e-06,0.0806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,256,5.26182,1.175713,65,SEGMENT_HYBRID,0.094633,0.293798,0.118989,0.412787,0.068393,1.108451,0.084598,0.094003,0.722718,2.685287,0.893957,0.227728,True,False,False,7.62939453125e-06,0.0806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,256,5.26182,1.175713,65,CUSPARSE,0.068393,1.035158,0.073293,1.108451,0.068393,1.108451,0.084598,0.094003,1.0,1.0,1.236937,0.084806,True,False,False,0.0,0.0,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,512,5.26182,1.175713,65,CSR_DIRECT,0.185539,0.0,0.196301,0.196301,0.127299,1.218684,0.185539,0.196301,0.686103,6.20825,1.0,1.0,True,False,False,5.7220458984375e-06,0.00806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,512,5.26182,1.175713,65,RODE_ENHANCED,0.188319,0.158407,0.207565,0.365972,0.127299,1.218684,0.185539,0.196301,0.675974,3.329994,0.985237,0.536382,True,False,False,5.7220458984375e-06,0.00806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,512,5.26182,1.175713,65,ZERO_OVERHEAD_CSR,0.173563,0.109623,0.189645,0.299267,0.127299,1.218684,0.185539,0.196301,0.733443,4.072226,1.068999,0.655938,True,False,False,5.7220458984375e-06,0.00806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,512,5.26182,1.175713,65,TC_DIRECT,0.1438,24.718924,0.191078,24.910003,0.127299,1.218684,0.185539,0.196301,0.885245,0.048923,1.290251,0.00788,True,False,False,5.7220458984375e-06,0.0806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,512,5.26182,1.175713,65,COMMUNITY_TC,0.141512,25.370855,0.190362,25.561217,0.127299,1.218684,0.185539,0.196301,0.899562,0.047677,1.311118,0.00768,True,False,False,5.7220458984375e-06,0.0806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,512,5.26182,1.175713,65,SEGMENT_HYBRID,0.188114,0.296861,0.211354,0.508214,0.127299,1.218684,0.185539,0.196301,0.67671,2.397973,0.98631,0.386256,True,False,False,5.7220458984375e-06,0.0806225774829855,
ca-HepTh,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,9877,9877,51971,512,5.26182,1.175713,65,CUSPARSE,0.127299,1.085872,0.132813,1.218684,0.127299,1.218684,0.185539,0.196301,1.0,1.0,1.457507,0.161076,True,False,False,0.0,0.0,
amazon-computers,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,13752,13752,491722,64,35.756399,1.966239,2992,CSR_DIRECT,0.339123,0.0,0.359014,0.359014,0.065869,1.089177,0.339123,0.359014,0.194233,3.033797,1.0,1.0,True,False,False,0.00022125244140625,0.05469917732470938,
amazon-computers,Dense Small,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,13752,13752,491722,64,35.756399,1.966239,2992,RODE_ENHANCED,0.307917,0.353405,0.335462,0.688867,0.065869,1.089177,0.339123,0.359014,0.213918,1.581113,1.101347,0.521166,True,False,False,0.000213623046875,0.05469917732470938,
