dataset,category,synthetic,gpu_name,cuda_version,cuda_visible_devices,warmup_iters,timed_iters,cold_iters,M,K,nnz,N,avg_nnz_per_row,cv_d,max_nnz_per_row,kernel,ms_warm,preprocess_ms,cold_exec_ms,ms_cold,ms_cusparse_warm,ms_cusparse_cold,ms_csr_direct_warm,ms_csr_direct_cold,speedup_vs_cusparse_warm,speedup_vs_cusparse_cold,speedup_vs_csr_direct_warm,speedup_vs_csr_direct_cold,correct,soft_fail,hard_fail,max_error,tolerance,error
Flickr,Mixed/Irregular,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,89250,89250,899756,512,10.0813,3.149276,5425,SEGMENT_HYBRID,3.427927,64.090083,3.551648,67.641731,2.185958,3.550354,0.0,0.0,0.637691,0.052488,,,True,False,False,0.00042724609375,0.7365459931328118,
Flickr,Mixed/Irregular,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,89250,89250,899756,512,10.0813,3.149276,5425,CUSPARSE,2.185958,1.348754,2.2016,3.550354,2.185958,3.550354,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
synth_sparse_skewed_cv2p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,200000,200000,10306672,128,51.53336,0.908696,160,RODE_ENHANCED,6.235013,5.902779,6.32816,12.230939,6.391706,7.742784,0.0,0.0,1.025131,0.633049,,,True,False,False,1.811981201171875e-05,0.012649110640673518,
synth_sparse_skewed_cv2p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,200000,200000,10306672,128,51.53336,0.908696,160,SEGMENT_HYBRID,6.238275,13.373713,6.318912,19.692625,6.391706,7.742784,0.0,0.0,1.024595,0.393182,,,True,False,False,1.811981201171875e-05,0.12649110640673517,
synth_sparse_skewed_cv2p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,200000,200000,10306672,128,51.53336,0.908696,160,CUSPARSE,6.391706,1.337664,6.40512,7.742784,6.391706,7.742784,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
synth_sparse_skewed_cv2p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,200000,200000,10306672,512,51.53336,0.908696,160,RODE_ENHANCED,26.040479,5.129556,26.133793,31.263349,25.531488,27.120052,0.0,0.0,0.980454,0.867471,,,True,False,False,2.288818359375e-05,0.012649110640673518,
synth_sparse_skewed_cv2p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,200000,200000,10306672,512,51.53336,0.908696,160,SEGMENT_HYBRID,26.040391,13.299333,26.125664,39.424997,25.531488,27.120052,0.0,0.0,0.980457,0.68789,,,True,False,False,2.288818359375e-05,0.12649110640673517,
synth_sparse_skewed_cv2p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,200000,200000,10306672,512,51.53336,0.908696,160,CUSPARSE,25.531488,1.570228,25.549824,27.120052,25.531488,27.120052,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
synth_mixed_v3,Mixed/Irregular,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,200000,200000,5576937,128,27.884685,1.888128,300,RODE_ENHANCED,3.561723,3.770603,3.648864,7.419467,3.636424,4.996454,0.0,0.0,1.020973,0.673425,,,True,False,False,3.0517578125e-05,0.017320508075688777,
synth_mixed_v3,Mixed/Irregular,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,200000,200000,5576937,128,27.884685,1.888128,300,SEGMENT_HYBRID,3.563351,8.834946,3.660448,12.495394,3.636424,4.996454,0.0,0.0,1.020507,0.399864,,,True,False,False,3.0517578125e-05,0.17320508075688776,
synth_mixed_v3,Mixed/Irregular,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,200000,200000,5576937,128,27.884685,1.888128,300,CUSPARSE,3.636424,1.346918,3.649536,4.996454,3.636424,4.996454,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
synth_mixed_v3,Mixed/Irregular,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,200000,200000,5576937,512,27.884685,1.888128,300,RODE_ENHANCED,14.881141,3.646069,14.963712,18.609781,14.538383,16.144005,0.0,0.0,0.976967,0.867501,,,True,False,False,3.814697265625e-05,0.017320508075688777,
synth_mixed_v3,Mixed/Irregular,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,200000,200000,5576937,512,27.884685,1.888128,300,SEGMENT_HYBRID,14.87999,8.794322,14.974368,23.76869,14.538383,16.144005,0.0,0.0,0.977043,0.679213,,,True,False,False,3.814697265625e-05,0.17320508075688776,
synth_mixed_v3,Mixed/Irregular,True,NVIDIA GeForce RTX 3090,11.8,1,50,200,1,200000,200000,5576937,512,27.884685,1.888128,300,CUSPARSE,14.538383,1.589893,14.554112,16.144005,14.538383,16.144005,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
