dataset,category,synthetic,gpu_name,cuda_version,cuda_visible_devices,warmup_iters,timed_iters,cold_iters,M,K,nnz,N,avg_nnz_per_row,cv_d,max_nnz_per_row,kernel,ms_warm,preprocess_ms,cold_exec_ms,ms_cold,ms_cusparse_warm,ms_cusparse_cold,ms_csr_direct_warm,ms_csr_direct_cold,speedup_vs_cusparse_warm,speedup_vs_cusparse_cold,speedup_vs_csr_direct_warm,speedup_vs_csr_direct_cold,correct,soft_fail,hard_fail,max_error,tolerance,error
Flickr,Mixed/Irregular,False,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,89250,89250,899756,512,10.0813,3.149276,5425,SEGMENT_HYBRID,3.437932,3.025112,3.49408,6.519192,2.18603,3.560693,0.0,0.0,0.635856,0.546186,,,True,False,False,0.00048828125,0.7365459931328118,
Flickr,Mixed/Irregular,False,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,89250,89250,899756,512,10.0813,3.149276,5425,CUSPARSE,2.18603,1.365237,2.195456,3.560693,2.18603,3.560693,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
synth_sparse_skewed_cv2p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,200000,200000,10306672,128,51.53336,0.908696,160,RODE_ENHANCED,6.379269,5.171886,6.453792,11.625678,6.390907,7.696788,0.0,0.0,1.001824,0.662051,,,True,False,False,1.9073486328125e-05,0.012649110640673518,
synth_sparse_skewed_cv2p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,200000,200000,10306672,128,51.53336,0.908696,160,SEGMENT_HYBRID,6.379822,13.005526,6.464864,19.47039,6.390907,7.696788,0.0,0.0,1.001738,0.395307,,,True,False,False,1.9073486328125e-05,0.12649110640673517,
synth_sparse_skewed_cv2p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,200000,200000,10306672,128,51.53336,0.908696,160,CUSPARSE,6.390907,1.296788,6.4,7.696788,6.390907,7.696788,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
synth_sparse_skewed_cv2p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,200000,200000,10306672,512,51.53336,0.908696,160,RODE_ENHANCED,26.078157,5.023602,26.155617,31.179219,25.528755,27.108837,0.0,0.0,0.978933,0.869452,,,True,False,False,2.6702880859375e-05,0.012649110640673518,
synth_sparse_skewed_cv2p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,200000,200000,10306672,512,51.53336,0.908696,160,SEGMENT_HYBRID,26.078945,13.111589,26.202528,39.314117,25.528755,27.108837,0.0,0.0,0.978903,0.689545,,,True,False,False,2.6702880859375e-05,0.12649110640673517,
synth_sparse_skewed_cv2p5,Sparse Skewed,True,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,200000,200000,10306672,512,51.53336,0.908696,160,CUSPARSE,25.528755,1.566182,25.542656,27.108837,25.528755,27.108837,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
synth_mixed_v3,Mixed/Irregular,True,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,200000,200000,5576937,128,27.884685,1.888128,300,RODE_ENHANCED,3.74721,3.768366,3.827232,7.595598,3.635763,4.929026,0.0,0.0,0.970259,0.648932,,,True,False,False,3.0517578125e-05,0.017320508075688777,
synth_mixed_v3,Mixed/Irregular,True,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,200000,200000,5576937,128,27.884685,1.888128,300,SEGMENT_HYBRID,3.749688,8.729124,3.826144,12.555268,3.635763,4.929026,0.0,0.0,0.969617,0.392586,,,True,False,False,3.0517578125e-05,0.17320508075688776,
synth_mixed_v3,Mixed/Irregular,True,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,200000,200000,5576937,128,27.884685,1.888128,300,CUSPARSE,3.635763,1.283586,3.64544,4.929026,3.635763,4.929026,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
synth_mixed_v3,Mixed/Irregular,True,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,200000,200000,5576937,512,27.884685,1.888128,300,RODE_ENHANCED,14.929214,3.850585,15.00224,18.852825,14.537043,16.137259,0.0,0.0,0.973731,0.85596,,,True,False,False,3.814697265625e-05,0.017320508075688777,
synth_mixed_v3,Mixed/Irregular,True,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,200000,200000,5576937,512,27.884685,1.888128,300,SEGMENT_HYBRID,14.929081,8.765213,15.016288,23.781501,14.537043,16.137259,0.0,0.0,0.97374,0.678564,,,True,False,False,3.814697265625e-05,0.17320508075688776,
synth_mixed_v3,Mixed/Irregular,True,NVIDIA GeForce RTX 3090,11.8,0,50,200,1,200000,200000,5576937,512,27.884685,1.888128,300,CUSPARSE,14.537043,1.587242,14.550016,16.137259,14.537043,16.137259,0.0,0.0,1.0,1.0,,,True,False,False,0.0,0.0,
