baseline,n_scope,ran,attempted,coverage_ran_over_scope,overall_router_faster_geomean,regime_balanced_geomean,router_best_regime,rf_Sparse Uniform,rf_Sparse Skewed,rf_Dense Small,rf_Dense Large-Scale,rf_Community,rf_Mixed/Irregular,preprocess_mean_ms,preprocess_max_ms,preprocess_host_or_device,fail_reasons,note
DTC-noTCA,all N (26 graphs x4),79,92,79/92,1.6139,1.6537,Mixed/Irregular (2.22x),1.2209,1.4611,2.023,1.9928,1.28,2.2217,11.0,178.7,device (thrust::sort on GPU),timeout=9;incorrect=2;all_variants_failed=2,"identity CSR order; DTC kernel, no reorder. preprocessing = device TC-block build only."
DTC-TCA,all N (26 graphs x4),50,92,50/92,1.5984,1.3338,Mixed/Irregular (2.38x),0.7628,1.6539,1.8091,,0.778,2.3774,250438.2,912584.3,device kernel build + HOST TCA reorder (600-900s),reorder_failed=40;incorrect=2,TCA proper-order reorder fails on 13/26 graphs; reorder 600-900s where it runs.
MP-SpMM,N=128 only,33,51,33/51,0.8376,0.8511,Mixed/Irregular (1.81x),0.5213,0.6944,1.168,,0.5819,1.815,2181.4,8275.7,device (match-and-pad preproc binary),SKIPPED_RESOURCE=18,2:4 structured sparse-TC (kernel sparse_mma_kernel_base). N=128 only; nnz>5M skipped (18).
HC-SpMM,N=64 only,14,51,14/51,1.6411,1.6329,Mixed/Irregular (2.11x),1.5083,,1.6608,,1.3453,2.1095,4.63,14.89,device (block build),CRASH=24;INCORRECT=13,"N=64 only; illegal-memory crash on 24 configs (12/26 real graphs), 13 incorrect (synthetic)."
cuBLAS-dense,covered configs only,52,52,52/52,18.5229,16.3193,Dense Small (20.65x),,,20.6471,,,12.8986,12.83,148.83,device (densify on GPU),,"dense GEMM on densified matrix; only 2/6 regimes (Dense Small, Mixed) have data."
"FlashSparse(fp16,partial)","N=128, 4 graphs only",4,4,4/4,1.1959,1.0356,Mixed/Irregular (1.84x),0.6374,,0.9459,,,1.8419,80.5,80.5,device (Block_gpu seg_sort_dequ_fs),,BUILDS+RUNS on sm_86 (8/8 correct). Speed row is PARTIAL (4 graphs); full per-regime sweep NOT run.
