T,dataset,N,ms_warm,build_ms,max_err
64,com-youtube,64,2.2315,26.74,4.6e-04
64,com-youtube,128,4.481,26.74,6.4e-04
64,com-youtube,512,18.7825,26.74,5.8e-04
64,twitter-combined,64,0.3056,1.81,3.4e-05
64,twitter-combined,128,0.5222,1.81,5.0e-05
64,twitter-combined,512,2.303,1.81,4.8e-05
64,synth_sparse_skewed_cv2p5,64,2.9156,5.81,1.7e-05
64,synth_sparse_skewed_cv2p5,128,6.0202,5.81,1.9e-05
64,synth_sparse_skewed_cv2p5,512,24.9189,5.81,2.1e-05
64,ogbn-arxiv,64,0.3591,2.67,2.3e-05
64,ogbn-arxiv,128,0.7186,2.67,2.7e-05
64,ogbn-arxiv,512,3.1671,2.67,3.4e-05
64,soc-Pokec,64,9.6137,36.65,1.3e-04
64,soc-Pokec,128,19.629,36.65,1.2e-04
64,soc-Pokec,512,80.341,36.65,1.8e-04
64,web-Google,64,2.0392,11.84,3.1e-05
64,web-Google,128,4.134,11.84,3.4e-05
64,web-Google,512,17.1119,11.84,4.6e-05
