T,dataset,N,ms_warm,build_ms,max_err
256,com-youtube,64,2.2326,30.75,3.7e-04
256,com-youtube,128,4.4973,30.75,4.6e-04
256,com-youtube,512,18.7299,30.75,4.3e-04
256,twitter-combined,64,0.3122,1.68,4.2e-05
256,twitter-combined,128,0.5327,1.68,4.6e-05
256,twitter-combined,512,2.212,1.68,4.6e-05
256,synth_sparse_skewed_cv2p5,64,2.8857,4.56,1.7e-05
256,synth_sparse_skewed_cv2p5,128,6.0272,4.56,1.9e-05
256,synth_sparse_skewed_cv2p5,512,24.9421,4.56,2.1e-05
256,ogbn-arxiv,64,0.3824,3.03,2.3e-05
256,ogbn-arxiv,128,0.746,3.03,2.3e-05
256,ogbn-arxiv,512,3.1971,3.03,4.2e-05
256,soc-Pokec,64,9.6289,31.78,2.1e-04
256,soc-Pokec,128,19.7013,31.78,1.7e-04
256,soc-Pokec,512,80.1518,31.78,2.4e-04
256,web-Google,64,2.0678,11.77,3.1e-05
256,web-Google,128,4.1653,11.77,2.7e-05
256,web-Google,512,17.1753,11.77,4.4e-05
