T,dataset,N,ms_warm,build_ms,max_err
192,com-youtube,64,2.2287,30.8,4.1e-04
192,com-youtube,128,4.4958,30.8,3.1e-04
192,com-youtube,512,18.732,30.8,5.5e-04
192,twitter-combined,64,0.29,1.68,4.6e-05
192,twitter-combined,128,0.5122,1.68,5.3e-05
192,twitter-combined,512,2.2209,1.68,6.9e-05
192,synth_sparse_skewed_cv2p5,64,2.8857,4.49,1.5e-05
192,synth_sparse_skewed_cv2p5,128,6.0275,4.49,2.3e-05
192,synth_sparse_skewed_cv2p5,512,24.9424,4.49,1.9e-05
192,ogbn-arxiv,64,0.3737,2.76,1.9e-05
192,ogbn-arxiv,128,0.7337,2.76,2.3e-05
192,ogbn-arxiv,512,3.1922,2.76,3.4e-05
192,soc-Pokec,64,9.6038,31.32,1.2e-04
192,soc-Pokec,128,19.6734,31.32,1.5e-04
192,soc-Pokec,512,80.1184,31.32,2.4e-04
192,web-Google,64,2.0593,11.98,3.1e-05
192,web-Google,128,4.155,11.98,3.8e-05
192,web-Google,512,17.162,11.98,2.7e-05
