T,dataset,N,ms_warm,build_ms,max_err
128,com-youtube,64,2.2299,30.61,4.9e-04
128,com-youtube,128,4.4883,30.61,4.9e-04
128,com-youtube,512,18.753,30.61,5.3e-04
128,twitter-combined,64,0.2915,1.69,4.2e-05
128,twitter-combined,128,0.5112,1.69,4.2e-05
128,twitter-combined,512,2.2741,1.69,5.0e-05
128,synth_sparse_skewed_cv2p5,64,2.8601,5.07,1.9e-05
128,synth_sparse_skewed_cv2p5,128,5.9981,5.07,1.7e-05
128,synth_sparse_skewed_cv2p5,512,24.9029,5.07,1.9e-05
128,ogbn-arxiv,64,0.3701,2.66,2.4e-05
128,ogbn-arxiv,128,0.7297,2.66,1.9e-05
128,ogbn-arxiv,512,3.187,2.66,3.4e-05
128,soc-Pokec,64,9.6133,31.99,1.8e-04
128,soc-Pokec,128,19.6804,31.99,1.4e-04
128,soc-Pokec,512,80.1464,31.99,2.1e-04
128,web-Google,64,2.0483,12.01,2.7e-05
128,web-Google,128,4.1443,12.01,3.4e-05
128,web-Google,512,17.1437,12.01,4.6e-05
