T,dataset,N,ms_warm,build_ms,max_err
96,com-youtube,64,2.2278,26.48,4.3e-04
96,com-youtube,128,4.4858,26.48,4.0e-04
96,com-youtube,512,18.7655,26.48,4.9e-04
96,twitter-combined,64,0.2957,1.77,5.3e-05
96,twitter-combined,128,0.5123,1.77,4.6e-05
96,twitter-combined,512,2.3078,1.77,5.0e-05
96,synth_sparse_skewed_cv2p5,64,2.9077,5.45,2.1e-05
96,synth_sparse_skewed_cv2p5,128,6.0226,5.45,2.1e-05
96,synth_sparse_skewed_cv2p5,512,24.9177,5.45,1.9e-05
96,ogbn-arxiv,64,0.3635,2.65,2.7e-05
96,ogbn-arxiv,128,0.7238,2.65,2.7e-05
96,ogbn-arxiv,512,3.1777,2.65,3.4e-05
96,soc-Pokec,64,9.6211,29.77,1.1e-04
96,soc-Pokec,128,19.6792,29.77,1.7e-04
96,soc-Pokec,512,80.2229,29.77,1.7e-04
96,web-Google,64,2.0429,11.9,2.3e-05
96,web-Google,128,4.1393,11.9,2.3e-05
96,web-Google,512,17.1262,11.9,3.4e-05
