dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,1,False,"<unnamed>::ra_segment_hybrid_tc_kernel(const int *, const int *, const int *, const int *, const unsigned short *, const float *, const int *, float *, int, int, int, int)",133.888,4.915374,36.948409,10.543487,5.975497,10.543487,12745088.0,0.0,0.0,0.0,0.0,38144,CUDA-core counters; HMMA reported separately,2.456116,0.177473,0.229895,0.001659,0.415622,0.000919,6.046527,1.003242,0.0,0.075317,0.000343,0.109307,0.872628,0.999966,0.837885,0.0,0.0,1.947339
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,2,False,"<unnamed>::segment_hybrid_tc_fp32_kernel_vec4(const int *, const int *, const int *, const float *, const float *, const int *, float *, int, int, int)",141.312,0.0,27.877723,23.951918,6.248923,23.951918,30109056.0,39919616.0,282.4927536231884,0.7939650186149196,1.3258341942038967,0,CUDA-core counters; HMMA reported separately,0.0,0.08636,0.145359,0.01063,0.328715,0.004012,18.329728,0.099242,0.0,0.0,0.000269,0.054032,0.180596,1.0,0.017378,0.0,0.0,1.702848
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,3,False,"<unnamed>::segment_hybrid_cuda_short_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",683.392,0.0,95.574069,73.052544,20.697739,92.158386,455687040.0,666796032.0,975.7153024911032,2.742313947417378,1.4632762696081942,0,CUDA-core counters; HMMA reported separately,0.0,0.019199,0.130355,0.015193,0.02376,0.018617,75.092888,0.098899,0.0,0.001708,6e-05,0.027675,0.151085,0.999992,0.040586,0.0,0.0,0.986812
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,4,False,"<unnamed>::segment_hybrid_cuda_long_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",578.656,0.0,70.328408,74.154357,7.994947,74.154357,391503872.0,335937536.0,580.5479179339711,1.6316692465822684,0.8580695109957942,0,CUDA-core counters; HMMA reported separately,19.26355,0.035113,0.128804,0.010296,0.067663,0.000288,61.866718,0.08155,0.0,0.014759,0.000104,0.03561,0.110858,0.999981,0.225664,0.0,0.0,1.588001
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,5,True,"<unnamed>::segment_hybrid_cuda_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",944.928,0.0,94.645964,87.327333,19.658869,88.484054,750038784.0,783345152.0,828.9998306749297,2.3299601761521354,1.0444061943335452,0,CUDA-core counters; HMMA reported separately,0.0,0.05766,0.211675,0.115942,0.014121,0.305583,66.521868,0.117186,0.0,0.011645,0.001954,0.045796,0.185611,1.000002,0.132835,0.0,0.0,1.457053
