dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
Flickr,Mixed/Irregular,False,ZERO_OVERHEAD_CSR,512,1,warm execute-only; plan built before NVTX range,1,False,"void <unnamed>::zo_tiny_vec4_kernel<(int)8>(const int *, const int *, const float *, const float *, float *, const int *, int, int)",38.176,0.0,6.533227,0.388305,0.056391,0.443999,133888.0,77824.0,2.038558256496228,0.005729506060978718,0.5812619502868069,0,CUDA-core counters; HMMA reported separately,0.0,0.2675,0.072917,0.000833,0.314583,0.0,12.952604,0.043333,0.0,0.0,0.000104,0.057813,0.0,1.0,0.04375,0.0,0.0,1.849062
Flickr,Mixed/Irregular,False,ZERO_OVERHEAD_CSR,512,1,warm execute-only; plan built before NVTX range,2,True,"<unnamed>::zo_short_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",1259.904,0.0,82.874312,94.081829,10.486308,94.081829,1078065408.0,567974912.0,450.8080869653561,1.2670266637587297,0.5268464304533181,0,CUDA-core counters; HMMA reported separately,0.0,0.141146,0.102559,0.038728,0.020532,0.017288,100.141942,0.074752,0.0,0.000827,3e-05,0.035599,0.095022,0.999997,0.037977,0.0,0.0,1.609105
Flickr,Mixed/Irregular,False,ZERO_OVERHEAD_CSR,512,1,warm execute-only; plan built before NVTX range,3,False,"<unnamed>::zo_medium_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",423.488,0.0,95.778922,91.917875,9.668305,91.917875,352234240.0,185518080.0,438.0716336708478,1.2312299990748954,0.5266895120701497,0,CUDA-core counters; HMMA reported separately,0.0,0.046082,0.108161,0.027996,0.067092,0.000769,142.721223,0.055801,0.0,0.000269,5.5e-05,0.038957,0.094967,1.000001,0.05233,0.0,0.0,1.700282
Flickr,Mixed/Irregular,False,ZERO_OVERHEAD_CSR,512,1,warm execute-only; plan built before NVTX range,4,False,"<unnamed>::zo_long_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int, int)",367.104,0.0,91.287079,84.657873,14.479679,84.657873,279952128.0,167779328.0,457.03486750348674,1.2845274522301482,0.5993143513450986,0,CUDA-core counters; HMMA reported separately,0.0,0.172482,0.226995,0.127828,0.063376,0.28642,91.987554,0.087229,0.0,0.033794,0.005992,0.153633,0.170003,0.999992,0.471906,0.0,0.0,2.198879
