dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
synth_mixed_v3,Mixed/Irregular,True,TC_DIRECT,512,0,warm execute-only; plan built before NVTX range,1,False,"<unnamed>::ra_tc_direct_kernel(const int *, const int *, const int *, const int *, const unsigned short *, const float *, const int *, float *, int, int, int, int)",31.104,0.0,73.609254,0.178951,14.396446,11.403893,50000.0,0.0,0.0,0.0,0.0,0,CUDA-core counters; HMMA reported separately,0.0,0.853086,0.28775,0.209455,1.104989,0.004575,41.907724,0.064168,0.0,0.00802,0.017891,0.836845,0.23782,0.999994,2.498645,0.0,0.0,4.984317
synth_mixed_v3,Mixed/Irregular,True,TC_DIRECT,512,0,warm execute-only; plan built before NVTX range,2,True,"<unnamed>::ra_tc_direct_fp32_kernel_vec4(const int *, const int *, const int *, const float *, const float *, const int *, float *, int, int, int)",13789.408,0.0,87.869383,93.615509,8.77463,93.615509,11746427232.0,5710783488.0,414.1427600082614,1.1639762788315384,0.48617195468955,0,CUDA-core counters; HMMA reported separately,0.0,0.074466,0.118493,0.011822,0.002634,0.017208,149.452578,0.033756,0.0,0.000326,0.005487,0.030189,0.056822,1.0,0.011513,0.0,0.0,1.647955
