dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
web-Stanford,Sparse Uniform,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,1,False,"<unnamed>::segment_hybrid_cuda_short_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",649.728,0.0,94.992482,90.85881,16.275,90.85881,537351504.0,492306432.0,757.71158392435,2.129599729972878,0.9161720556010577,0,CUDA-core counters; HMMA reported separately,0.0,0.022543,0.128867,0.0576,0.031052,1.181661,92.640831,0.099147,0.0,0.04813,7.5e-05,0.031006,0.158409,1.0,0.067021,0.0,0.0,1.007609
web-Stanford,Sparse Uniform,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,2,False,"<unnamed>::segment_hybrid_cuda_long_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",60.512,0.0,31.928104,56.109674,7.654018,56.109674,29991768.0,30539776.0,504.6895822316235,1.4184642558505438,1.0182719471556327,0,CUDA-core counters; HMMA reported separately,20.579552,0.057209,0.122506,0.012259,0.453267,0.000149,17.663397,0.086765,0.0,0.020581,0.000703,0.072208,0.113236,1.000149,0.243164,0.0,0.0,1.613156
web-Stanford,Sparse Uniform,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,3,True,"<unnamed>::segment_hybrid_cuda_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",3992.128,0.0,92.609869,94.757018,12.914038,94.757018,3446027160.0,1989016576.0,498.23466983022587,1.4003222873249743,0.5771912070478283,0,CUDA-core counters; HMMA reported separately,0.0,0.068446,0.195662,0.250329,0.004713,0.461878,94.393146,0.109156,0.0,0.088979,0.00292,0.05352,0.143113,0.999995,0.202327,0.0,0.0,1.555451
