dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
synth_sparse_skewed_cv2p5,Sparse Skewed,True,SEGMENT_HYBRID,512,0,warm execute-only; plan built before NVTX range,1,True,"<unnamed>::segment_hybrid_cuda_short_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",12123.552,0.0,97.683914,95.063237,9.085101,95.063237,10501209416.0,5226496000.0,431.1026999348046,1.2116433387712326,0.4977041970077021,0,CUDA-core counters; HMMA reported separately,0.0,0.016306,0.10508,0.012687,0.003088,0.060909,182.144666,0.045299,0.0,0.001202,0.005053,0.024,0.056556,1.000001,0.031324,0.0,0.0,0.955986
synth_sparse_skewed_cv2p5,Sparse Skewed,True,SEGMENT_HYBRID,512,0,warm execute-only; plan built before NVTX range,2,False,"<unnamed>::segment_hybrid_cuda_long_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",5979.456,0.0,82.989338,95.909433,6.552991,95.909433,5224784304.0,2638643200.0,441.28482591058446,1.2402608935092312,0.505024331431233,0,CUDA-core counters; HMMA reported separately,76.118905,0.059429,0.118057,0.016112,0.009621,5.9e-05,72.413855,0.066515,0.0,0.003401,1.7e-05,0.052417,0.087045,0.999996,0.263689,0.0,0.0,1.615633
synth_sparse_skewed_cv2p5,Sparse Skewed,True,SEGMENT_HYBRID,512,0,warm execute-only; plan built before NVTX range,3,False,"<unnamed>::segment_hybrid_cuda_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",7044.16,0.0,95.351663,94.677054,9.164358,94.677054,6073827760.0,2789155328.0,395.95286421659927,1.1128523446222576,0.4592088281410206,0,CUDA-core counters; HMMA reported separately,0.0,0.053124,0.18223,0.089674,0.003912,0.122721,150.094648,0.059482,0.0,0.003576,0.001947,0.040857,0.076577,1.0,0.103556,0.0,0.0,1.397248
