dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
Flickr,Mixed/Irregular,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,1,False,"void <unnamed>::zo_tiny_vec4_kernel<(int)8>(const int *, const int *, const float *, const float *, float *, const int *, int, int)",15.872,0.0,6.6675,0.253378,0.04398,0.571555,36096.0,19456.0,1.2258064516129032,0.003445212061868756,0.5390070921985816,0,CUDA-core counters; HMMA reported separately,0.0,0.258659,0.092469,0.002542,0.96727,0.0,15.780426,0.033047,0.0,0.0,0.000318,0.071497,0.0,1.0,0.132189,0.0,0.0,2.010486
Flickr,Mixed/Irregular,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,2,True,"<unnamed>::zo_short_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",267.072,0.0,82.312607,92.313672,14.105194,92.313672,222234368.0,141993728.0,531.6683441169423,1.4942898935271005,0.6389368542672932,0,CUDA-core counters; HMMA reported separately,0.0,0.136295,0.147384,0.07894,0.070498,0.002128,67.385644,0.118904,0.0,0.000353,8.7e-05,0.045134,0.184492,0.999995,0.105701,0.0,0.0,1.656638
Flickr,Mixed/Irregular,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,3,False,"<unnamed>::zo_medium_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",105.792,0.0,30.783593,83.283334,10.198531,83.283334,78248064.0,46379520.0,438.40290381125226,1.23216105624298,0.5927241854827232,0,CUDA-core counters; HMMA reported separately,0.0,0.080552,0.095841,0.035441,0.223642,6.5e-05,37.647784,0.044659,0.0,1e-05,0.002972,0.078278,0.07876,1.000028,0.196102,0.0,0.0,1.839722
Flickr,Mixed/Irregular,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,4,False,"<unnamed>::zo_long_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int, int)",137.376,0.0,35.154847,41.682151,19.028082,41.682151,52028288.0,41944832.0,305.3286745865362,0.8581469212662625,0.806192815723631,0,CUDA-core counters; HMMA reported separately,0.0,0.322384,0.323917,0.088887,0.130656,0.015165,19.375205,0.056652,0.0,0.000262,0.011291,0.292912,0.158695,1.000005,0.970326,0.0,0.0,2.922765
