dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
twitter-combined,Sparse Skewed,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,1,False,"void <unnamed>::zo_tiny_vec4_kernel<(int)8>(const int *, const int *, const float *, const float *, float *, const int *, int, int)",35.808,0.0,42.771699,68.967585,12.843613,68.967585,20164224.0,10266112.0,286.6988382484361,0.8057865043519846,0.5091250722070931,0,CUDA-core counters; HMMA reported separately,0.0,0.314706,0.137173,0.002138,0.526614,0.000312,29.660246,0.17836,0.0,1.1e-05,0.000867,0.100682,0.241511,0.99998,0.15787,0.0,0.0,2.156839
twitter-combined,Sparse Skewed,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,2,False,"<unnamed>::zo_short_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",61.152,0.0,81.155221,85.612158,23.833695,85.612158,45909376.0,56720896.0,927.5395081109366,2.6069126141397883,1.2354969930325344,0,CUDA-core counters; HMMA reported separately,0.0,0.118052,0.183586,0.066032,0.215683,0.004884,38.389365,0.1896,0.0,0.000914,0.000249,0.057259,0.338094,0.999921,0.091737,0.0,0.0,1.629696
twitter-combined,Sparse Skewed,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,3,False,"<unnamed>::zo_medium_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",222.208,0.0,32.384979,37.874634,19.448043,81.395471,76323072.0,192456448.0,866.1094470046083,2.4342592664547733,2.521602484763716,0,CUDA-core counters; HMMA reported separately,0.0,0.076213,0.108847,0.03229,0.057652,0.000188,20.472564,0.064999,0.0,1e-05,0.00226,0.06446,0.121394,0.999995,0.175253,0.0,0.0,1.835662
twitter-combined,Sparse Skewed,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,4,True,"<unnamed>::zo_long_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int, int)",321.024,0.0,42.098133,45.824086,21.071601,60.347057,133627904.0,193202688.0,601.8325358851674,1.6914911070409426,1.445825925698872,0,CUDA-core counters; HMMA reported separately,0.0,0.196326,0.236615,0.067775,0.049747,0.009579,25.97994,0.06111,0.0,0.000122,0.006328,0.172602,0.14158,0.999993,0.550043,0.0,0.0,2.357782
