dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
twitter-combined,Sparse Skewed,False,ZERO_OVERHEAD_CSR,512,1,warm execute-only; plan built before NVTX range,1,False,"void <unnamed>::zo_tiny_vec4_kernel<(int)8>(const int *, const int *, const float *, const float *, float *, const int *, int, int)",135.83999999999997,0.0,47.597449,84.623044,9.453633,84.623044,99215360.0,41064448.0,302.3001177856302,0.8496349572389832,0.41389204252244816,0,CUDA-core counters; HMMA reported separately,0.0,0.332156,0.087838,0.000884,0.18118,0.001005,53.738504,0.111395,0.0,5e-06,0.00029,0.080269,0.111977,0.999962,0.053624,0.0,0.0,1.948358
twitter-combined,Sparse Skewed,False,ZERO_OVERHEAD_CSR,512,1,warm execute-only; plan built before NVTX range,2,False,"<unnamed>::zo_short_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",323.392,0.0,80.180179,90.663246,16.136345,90.663246,261553920.0,226883584.0,701.5745101919651,1.97182268182115,0.8674447853811558,0,CUDA-core counters; HMMA reported separately,0.0,0.118266,0.120399,0.01885,0.056551,0.002173,64.079449,0.103564,0.0,0.000292,7.2e-05,0.037501,0.158467,0.999991,0.025701,0.0,0.0,1.575462
twitter-combined,Sparse Skewed,False,ZERO_OVERHEAD_CSR,512,1,warm execute-only; plan built before NVTX range,3,False,"<unnamed>::zo_medium_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",803.4879999999999,0.0,96.11708,65.174674,20.836006,91.746997,476152448.0,769825792.0,958.104902624557,2.692818725757608,1.6167632766218605,0,CUDA-core counters; HMMA reported separately,0.0,0.04565,0.122172,0.025907,0.017081,0.000647,66.313907,0.081774,0.0,6.5e-05,1.3e-05,0.034209,0.149115,0.999997,0.046365,0.0,0.0,1.719675
twitter-combined,Sparse Skewed,False,ZERO_OVERHEAD_CSR,512,1,warm execute-only; plan built before NVTX range,4,True,"<unnamed>::zo_long_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int, int)",1123.2640000000001,0.0,94.363213,82.384675,16.85857,82.384675,844901376.0,772810752.0,688.004558144835,1.9336834124362983,0.9146756934622391,0,CUDA-core counters; HMMA reported separately,0.0,0.093102,0.166299,0.080629,0.015779,0.137294,83.291113,0.071895,0.0,0.005534,0.002085,0.076592,0.139863,0.999995,0.194721,0.0,0.0,1.830526
