dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,1,False,"<unnamed>::ra_segment_hybrid_tc_kernel(const int *, const int *, const int *, const int *, const unsigned short *, const float *, const int *, float *, int, int, int, int)",134.304,4.905186,36.918809,10.545917,6.004719,10.545917,12685824.0,0.0,0.0,0.0,0.0,38144,CUDA-core counters; HMMA reported separately,2.451234,0.177685,0.226193,0.001737,0.408967,0.000966,6.038245,0.998547,0.0,0.085355,0.000339,0.109538,0.87878,0.999975,0.841354,0.0,0.0,1.946728
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,2,False,"<unnamed>::segment_hybrid_tc_fp32_kernel_vec4(const int *, const int *, const int *, const float *, const float *, const int *, float *, int, int, int)",143.104,0.0,27.780761,23.976823,6.245107,23.976823,30154112.0,39919616.0,278.95527728085864,0.7840227017449652,1.3238531448049273,0,CUDA-core counters; HMMA reported separately,0.0,0.086367,0.145144,0.010741,0.32235,0.004133,18.484416,0.099921,0.0,0.0,0.00027,0.054383,0.181985,1.000012,0.017432,0.0,0.0,1.703079
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,3,False,"<unnamed>::segment_hybrid_cuda_short_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",686.656,0.0,95.387657,73.249263,20.671917,91.962887,457496192.0,666796032.0,971.077267219685,2.7292784351312114,1.4574897969861136,0,CUDA-core counters; HMMA reported separately,0.0,0.019195,0.130428,0.015223,0.023449,0.018188,75.02652,0.098361,0.0,0.001803,5.8e-05,0.027835,0.15116,1.000003,0.040688,0.0,0.0,0.986832
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,4,False,"<unnamed>::segment_hybrid_cuda_long_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",521.856,0.0,77.834618,79.20267,9.399888,79.20267,376008960.0,335937536.0,643.7360804513122,1.8092638573673756,0.8934296033796642,0,CUDA-core counters; HMMA reported separately,43.662452,0.057223,0.125894,0.011722,0.080949,0.000196,38.670848,0.097481,0.0,0.015756,0.000129,0.054978,0.13772,1.000008,0.247322,0.0,0.0,1.617145
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,512,1,warm execute-only; plan built before NVTX range,5,True,"<unnamed>::segment_hybrid_cuda_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",945.856,0.0,94.304089,87.551801,19.696959,88.728467,750489216.0,783345152.0,828.186480817376,2.327674201285486,1.0437793579168497,0,CUDA-core counters; HMMA reported separately,0.0,0.05766,0.211772,0.126454,0.013591,0.30063,66.042518,0.1183,0.0,0.014476,0.001954,0.045749,0.192045,1.000009,0.130474,0.0,0.0,1.45786
