dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
roadNet-PA,Sparse Uniform,False,SEGMENT_HYBRID,128,0,warm execute-only; plan built before NVTX range,1,False,"<unnamed>::ra_segment_hybrid_tc_kernel(const int *, const int *, const int *, const int *, const unsigned short *, const float *, const int *, float *, int, int, int, int)",5.952,0.0,69.951098,0.222508,9.491916,7.035322,12000.0,0.0,0.0,0.0,0.0,0,CUDA-core counters; HMMA reported separately,0.0,0.764304,0.201531,0.194321,8.063959,0.040752,37.998391,0.145854,0.0,0.002799,0.027382,1.647454,0.2955,1.000073,2.443646,0.0,0.0,4.751705
roadNet-PA,Sparse Uniform,False,SEGMENT_HYBRID,128,0,warm execute-only; plan built before NVTX range,2,False,"<unnamed>::segment_hybrid_tc_fp32_kernel_vec4(const int *, const int *, const int *, const float *, const float *, const int *, float *, int, int, int)",125.63199999999999,0.0,86.73131,89.888576,12.079548,89.888576,101257392.0,46907904.0,373.3754457463067,1.0493969807372308,0.46325411975848635,0,CUDA-core counters; HMMA reported separately,0.0,0.189094,0.168667,0.105354,0.178324,0.01041,79.578588,0.191469,0.0,0.001055,8.8e-05,0.070752,0.283636,0.999978,0.161166,0.0,0.0,2.033221
roadNet-PA,Sparse Uniform,False,SEGMENT_HYBRID,128,0,warm execute-only; plan built before NVTX range,3,True,"<unnamed>::segment_hybrid_cuda_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",2218.912,0.0,34.819803,85.687984,14.718238,85.687984,1731872448.0,875999104.0,394.78767251698133,1.1095774944265917,0.5058104048087495,0,CUDA-core counters; HMMA reported separately,0.0,0.239481,0.153187,0.221583,0.006153,0.000185,22.573292,0.094176,0.0,6.3e-05,0.014717,0.208816,0.125382,0.999999,0.866053,0.0,0.0,2.331311
