dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
ogbn-products,Dense Large-Scale,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,1,False,"void <unnamed>::zo_tiny_vec4_kernel<(int)8>(const int *, const int *, const float *, const float *, float *, const int *, int, int)",754.752,0.0,87.597548,87.609454,10.491741,87.609454,602226000.0,203725568.0,269.92385313321466,0.7586392724373656,0.3382875664617602,0,CUDA-core counters; HMMA reported separately,0.0,0.310216,0.121949,0.102297,0.030256,0.152974,95.065629,0.104907,0.0,0.053535,4.2e-05,0.053127,0.121587,1.000006,0.383722,0.0,0.0,2.147353
ogbn-products,Dense Large-Scale,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,2,False,"<unnamed>::zo_short_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",3776.5119999999997,0.0,82.420484,94.264832,9.610125,94.264832,3242171000.0,1475467776.0,390.6959056399133,1.098077306464062,0.45508635294066846,0,CUDA-core counters; HMMA reported separately,0.0,0.114893,0.121393,0.102188,0.007364,0.100957,108.832472,0.064675,0.0,0.008429,0.000397,0.035162,0.093529,1.0,0.091195,0.0,0.0,1.595458
ogbn-products,Dense Large-Scale,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,3,False,"<unnamed>::zo_medium_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",19554.431999999997,0.0,33.458961,94.006941,9.324161,94.006941,16747246999.999998,8238270720.0,421.2994128389923,1.1840905363659142,0.4919179086568677,0,CUDA-core counters; HMMA reported separately,0.0,0.072056,0.093364,0.028062,0.00137,4.6e-05,50.455268,0.029019,0.0,1e-06,0.00302,0.057305,0.049719,1.0,0.156475,0.0,0.0,1.798293
ogbn-products,Dense Large-Scale,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,4,True,"<unnamed>::zo_long_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int, int)",197825.984,0.0,68.154954,25.993291,19.538116,25.993291,46859556000.0,21754382848.0,109.96726723219534,0.30907045315400605,0.46424645696600286,0,CUDA-core counters; HMMA reported separately,0.0,0.438998,0.419313,0.110867,8.6e-05,0.013462,53.150139,0.032894,0.0,6e-06,0.016349,0.382616,0.14285,1.0,1.348085,0.0,0.0,3.482359
