dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,128,0,warm execute-only; plan built before NVTX range,1,False,"<unnamed>::ra_segment_hybrid_tc_kernel(const int *, const int *, const int *, const int *, const unsigned short *, const float *, const int *, float *, int, int, int, int)",58.08,2.783852,18.941277,6.141774,3.673043,6.141774,3188864.0,0.0,0.0,0.0,0.0,9536,CUDA-core counters; HMMA reported separately,0.644263,0.161155,0.090483,0.002575,0.900957,0.000159,6.935782,0.414584,0.0,0.002491,0.000699,0.098052,0.275438,0.999927,0.619955,0.0,0.0,1.896861
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,128,0,warm execute-only; plan built before NVTX range,2,False,"<unnamed>::segment_hybrid_tc_fp32_kernel_vec4(const int *, const int *, const int *, const float *, const float *, const int *, float *, int, int, int)",36.128,0.0,30.340637,19.796763,6.777724,20.447075,6131840.0,9979904.0,276.237378210806,0.7763838623125521,1.6275545350172216,0,CUDA-core counters; HMMA reported separately,0.0,0.087239,0.173609,0.040981,1.200235,0.008595,16.769846,0.171687,0.0,0.0,0.000981,0.123107,0.288017,0.999976,0.063025,0.0,0.0,1.780133
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,128,0,warm execute-only; plan built before NVTX range,3,False,"<unnamed>::segment_hybrid_cuda_short_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",184.64,0.0,32.021242,37.804604,19.580483,82.737824,63735296.0,166699008.0,902.8325823223571,2.537472125695214,2.6154896652554966,0,CUDA-core counters; HMMA reported separately,0.0,0.04525,0.118991,0.020683,0.077352,0.001021,22.983425,0.079355,0.0,2.4e-05,0.002259,0.05965,0.126386,1.000006,0.152398,0.0,0.0,1.113907
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,128,0,warm execute-only; plan built before NVTX range,4,False,"<unnamed>::segment_hybrid_cuda_long_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",199.296,0.0,73.970365,32.677367,8.866021,39.390278,59026304.0,83984384.0,421.4052665382145,1.1843880453575448,1.4228297946623931,0,CUDA-core counters; HMMA reported separately,62.604244,0.172032,0.111069,0.010205,0.216982,0.000785,8.927544,0.170958,0.0,0.048937,0.000351,0.134709,0.247751,1.000104,0.321292,0.0,0.0,1.766567
twitter-combined,Sparse Skewed,False,SEGMENT_HYBRID,128,0,warm execute-only; plan built before NVTX range,5,True,"<unnamed>::segment_hybrid_cuda_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",243.872,0.0,33.877846,70.98577,20.561332,86.564795,156764928.0,195836288.0,803.0289988190526,2.256967394095145,1.2492353391697408,0,CUDA-core counters; HMMA reported separately,0.0,0.128005,0.186366,0.110231,0.045572,0.004137,17.968212,0.09698,0.0,0.000348,0.007034,0.113824,0.165982,0.999996,0.429313,0.0,0.0,1.768655
