kernel,N,category,profiles,mean_tc_pipe_pct,mean_achieved_occupancy_pct,mean_dram_throughput_pct,mean_mem_workload_pct,mean_cuda_core_achieved_gflops,mean_cuda_core_pct_fp32_peak,mean_cuda_core_ai_flop_per_byte,hmma_insts_total,dominant_stall,dominant_stall_value,second_stall,second_stall_value,third_stall,third_stall_value
COMMUNITY_TC,128,Community,4,0.0,79.790035,74.03792800000001,74.924105,537.2371572221897,1.5099414199611854,0.762388184052341,0,long_scoreboard,54.698915250000006,wait,1.92948875,selected,0.999999
COMMUNITY_TC,128,Dense Large-Scale,4,0.0,78.11866525,72.81193925,81.32992499999999,717.3429276803092,2.016140887240892,1.151081629105741,0,long_scoreboard,76.9622765,wait,1.6453142500000002,lg_throttle,1.42001725
COMMUNITY_TC,128,Dense Small,6,0.0,63.43874683333333,21.026039166666667,46.22091816666667,475.3189337024842,1.3359160587478476,4.005584286464359,0,long_scoreboard,39.728437,wait,1.8182906666666667,selected,1.0000305
COMMUNITY_TC,128,Mixed/Irregular,5,0.0,52.405881199999996,27.0402836,30.7340592,185.7633302417824,0.5221004222647061,2.388031070699674,0,long_scoreboard,50.7112642,wait,1.8919490000000003,imc_miss,1.3385536
COMMUNITY_TC,128,Sparse Skewed,3,0.0,80.68608933333333,75.85943066666667,81.246471,508.7711488584239,1.4299357753187856,0.8740319909881354,0,long_scoreboard,102.36267533333334,wait,1.71303,selected,0.9999996666666666
COMMUNITY_TC,128,Sparse Uniform,9,0.0,85.12901022222222,88.03592366666668,88.03592366666668,682.9695071281013,1.9195320605061867,0.8681413560407889,0,long_scoreboard,56.15687888888889,wait,1.9354473333333335,selected,0.9999997777777777
COMMUNITY_TC,512,Community,4,0.0,77.66914050000001,76.66616400000001,76.66616400000001,433.2374049928426,1.2176430719304177,0.6008651631420063,0,long_scoreboard,81.43513725,wait,1.7973522499999999,selected,1.0
COMMUNITY_TC,512,Dense Large-Scale,4,0.0,78.67215275000001,87.183707,87.183707,512.947529931359,1.4416737772101154,0.6495630299409993,0,long_scoreboard,108.30404925,lg_throttle,2.72073775,wait,1.6275275000000002
COMMUNITY_TC,512,Dense Small,6,0.0,65.08380683333333,41.11242933333333,51.676532,442.3041510110816,1.2431257757478404,1.3819293303710263,0,long_scoreboard,58.681034000000004,wait,1.7238375000000001,selected,0.999993
COMMUNITY_TC,512,Mixed/Irregular,5,0.0,49.8457724,30.494724199999997,33.578396999999995,192.66226290173586,0.5414903398025179,2.0008992171766655,0,long_scoreboard,61.00677,wait,1.7795492,selected,0.9999819999999999
COMMUNITY_TC,512,Sparse Skewed,3,0.0,80.873564,84.039686,84.039686,444.6265153960597,1.2496529381564354,0.5969628380327106,0,long_scoreboard,121.61809699999999,wait,1.6570116666666665,selected,0.9999996666666666
COMMUNITY_TC,512,Sparse Uniform,9,0.0,85.29888311111111,89.16681822222223,89.16681822222223,584.7198907390008,1.6433948587380574,0.7289697618442028,0,long_scoreboard,81.55123433333333,wait,1.8095485555555553,selected,1.0
CSR_DIRECT,128,Community,4,0.0,75.128859,76.059642,76.059642,374.076398831457,1.0513670568618803,0.5403243686551238,0,long_scoreboard,76.05265324999999,wait,1.8863035,selected,1.00000475
CSR_DIRECT,128,Dense Large-Scale,4,0.0,60.2230775,75.2341795,85.836407,670.7165326327538,1.8850942457356767,1.1062404662038294,0,long_scoreboard,68.1857925,wait,1.4586775,selected,1.00000025
CSR_DIRECT,128,Dense Small,6,0.0,47.669515999999994,21.725399499999998,46.49750216666666,442.9523679038296,1.2449476332316742,3.8028424173650777,0,long_scoreboard,34.964297333333334,wait,1.6827765,selected,1.0000175
CSR_DIRECT,128,Mixed/Irregular,5,0.0,31.6143286,26.736928,30.933885799999995,182.6882032860544,0.5134575696628847,2.4087945723317215,0,long_scoreboard,37.808209,wait,1.7389607999999999,selected,0.9999650000000001
