dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
web-Google,Sparse Uniform,False,COMMUNITY_TC,512,1,warm execute-only; plan built before NVTX range,1,False,"<unnamed>::ra_community_tc_kernel(const int *, const int *, const int *, const int *, const unsigned short *, const float *, const int *, float *, int, int, int, int)",133.536,0.0,72.070011,0.189894,15.112556,12.064095,230000.0,0.0,0.0,0.0,0.0,0,CUDA-core counters; HMMA reported separately,0.0,0.876992,0.289446,0.206586,0.257341,0.001087,42.074904,0.049807,0.0,0.001633,0.01698,0.734514,0.211796,1.000002,2.476169,0.0,0.0,5.012784
web-Google,Sparse Uniform,False,COMMUNITY_TC,512,1,warm execute-only; plan built before NVTX range,2,True,"<unnamed>::ra_community_tc_fp32_kernel_vec4(const int *, const int *, const int *, const float *, const float *, const int *, float *, int, int, int)",6009.152,0.0,86.506484,89.005334,20.903117,89.005334,4880443000.0,5227559936.0,869.9330514521849,2.4450057657453206,1.0711240631229584,0,CUDA-core counters; HMMA reported separately,0.0,0.17484,0.141194,0.326307,0.002354,0.850476,50.272196,0.143683,0.0,0.198972,1e-06,0.047086,0.250946,1.0,0.186,0.0,0.0,1.827608
