dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
amazon-photo,Dense Small,False,RODE_ENHANCED,128,0,warm execute-only; plan built before NVTX range,1,False,"<unnamed>::rode_short_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",37.568,0.0,24.050453,13.122131,15.08311,61.807976,4449280.0,25452544.0,677.5059625212947,1.9041763983172981,5.720598388952819,0,CUDA-core counters; HMMA reported separately,0.0,0.050852,0.117127,0.022884,0.503745,0.004212,18.454378,0.099787,0.0,9.7e-05,0.001645,0.080915,0.158607,1.000061,0.165922,0.0,0.0,1.141865
amazon-photo,Dense Small,False,RODE_ENHANCED,128,0,warm execute-only; plan built before NVTX range,2,True,"<unnamed>::rode_long_pipelined_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",171.232,0.0,28.953465,1.843789,1.253628,5.831537,2871936.0,10444800.0,60.99794430947487,0.17143885415816434,3.6368498462361276,0,CUDA-core counters; HMMA reported separately,51.879206,0.168906,0.10711,0.007829,0.938997,0.000287,7.485891,0.137321,0.0,0.039753,0.001587,0.149788,0.178215,1.00005,0.292695,0.0,0.0,1.751446
amazon-photo,Dense Small,False,RODE_ENHANCED,128,0,warm execute-only; plan built before NVTX range,3,False,"<unnamed>::rode_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",35.2,0.0,30.647707,32.708913,18.165064,75.417328,10589440.0,26015616.0,739.0799999999999,2.0772344013490724,2.456750876344736,0,CUDA-core counters; HMMA reported separately,0.0,0.115862,0.189005,0.096591,0.350216,0.006142,16.901099,0.106321,0.0,0.000489,0.005738,0.121266,0.188118,1.000058,0.372897,0.0,0.0,1.702996
