dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
gplus-combined,Dense Large-Scale,False,ZERO_OVERHEAD_CSR,512,1,warm execute-only; plan built before NVTX range,1,False,"void <unnamed>::zo_tiny_vec4_kernel<(int)8>(const int *, const int *, const float *, const float *, float *, const int *, int, int)",96.64,0.0,35.209735,77.399248,9.248842,77.399248,68281328.0,29224960.0,302.4105960264901,0.8499454638181284,0.42800807857749923,0,CUDA-core counters; HMMA reported separately,0.0,0.347498,0.08539,0.000763,0.214946,9.1e-05,37.402947,0.106508,0.0,0.0,0.000312,0.084756,0.100479,0.999989,0.053818,0.0,0.0,1.96418
gplus-combined,Dense Large-Scale,False,ZERO_OVERHEAD_CSR,512,1,warm execute-only; plan built before NVTX range,2,False,"<unnamed>::zo_short_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",200.44799999999998,0.0,80.492458,87.748019,14.568302,87.748019,161263136.0,130493440.0,651.0089399744572,1.8297047216820044,0.809195723441717,0,CUDA-core counters; HMMA reported separately,0.0,0.117997,0.122156,0.018596,0.095276,0.003266,67.973969,0.105411,0.0,0.000411,0.000127,0.042316,0.159257,1.000021,0.025562,0.0,0.0,1.571711
gplus-combined,Dense Large-Scale,False,ZERO_OVERHEAD_CSR,512,1,warm execute-only; plan built before NVTX range,3,False,"<unnamed>::zo_medium_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",654.4,0.0,96.433571,82.413582,20.218967,89.455986,492252392.0,613337088.0,937.2510513447434,2.6342075642066987,1.2459809194792089,0,CUDA-core counters; HMMA reported separately,0.0,0.045536,0.121294,0.024304,0.021582,0.001081,68.382657,0.078636,0.0,7.9e-05,1.6e-05,0.034524,0.146075,0.999999,0.043265,0.0,0.0,1.716563
gplus-combined,Dense Large-Scale,False,ZERO_OVERHEAD_CSR,512,1,warm execute-only; plan built before NVTX range,4,True,"<unnamed>::zo_long_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int, int)",18360.32,0.0,94.95208,82.244914,17.763739,82.244914,13765777328.0,13228560384.0,720.4972671500279,2.0250063719787184,0.9609744563492768,0,CUDA-core counters; HMMA reported separately,0.0,0.098633,0.167761,0.055248,0.000958,0.046113,81.155883,0.062384,0.0,0.001155,0.002669,0.080659,0.127935,1.0,0.205463,0.0,0.0,1.856132
