dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
ogbn-proteins,Dense Large-Scale,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,1,False,"void <unnamed>::zo_tiny_vec4_kernel<(int)8>(const int *, const int *, const float *, const float *, float *, const int *, int, int)",17.184,0.0,8.682302,18.657682,4.207668,18.657682,2767912.0,1610496.0,93.72067039106145,0.263408292273922,0.5818450875605872,0,CUDA-core counters; HMMA reported separately,0.0,0.317444,0.09709,0.002404,0.923653,1e-05,11.634161,0.048064,0.0,0.0,0.000179,0.080482,0.016203,1.0,0.157378,0.0,0.0,2.120636
ogbn-proteins,Dense Large-Scale,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,2,False,"<unnamed>::zo_short_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",20.672,0.0,67.868874,71.900743,13.063159,71.900743,11797400.0,9625600.0,465.6346749226006,1.308697793486792,0.8159085900283113,0,CUDA-core counters; HMMA reported separately,0.0,0.112236,0.233387,0.06327,1.087667,0.013202,53.588434,0.3235,0.0,0.005288,0.001476,0.156808,0.545348,1.000104,0.084262,0.0,0.0,1.58604
ogbn-proteins,Dense Large-Scale,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,3,False,"<unnamed>::zo_medium_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int)",122.048,0.0,31.15724,60.603914,17.52517,76.450589,66367440.0,95610624.0,783.3854221289985,2.2017577912563193,1.4406254633296087,0,CUDA-core counters; HMMA reported separately,0.0,0.071397,0.106321,0.027609,0.119989,0.000145,22.012872,0.059704,0.0,1.1e-05,0.001897,0.063475,0.11372,1.000002,0.149504,0.0,0.0,1.809386
ogbn-proteins,Dense Large-Scale,False,ZERO_OVERHEAD_CSR,128,0,warm execute-only; plan built before NVTX range,4,True,"<unnamed>::zo_long_vec4_kernel(const int *, const int *, const float *, const float *, float *, const int *, int, int, int)",31393.920000000002,0.0,47.602798,29.379175,23.210275,60.984281,8403697704.0,20148514304.0,641.7967015269198,1.8038131015371555,2.3975772348890763,0,CUDA-core counters; HMMA reported separately,0.0,0.211654,0.252101,0.068269,0.00044,0.005691,28.408345,0.060303,0.0,0.000123,0.007031,0.181946,0.144692,1.0,0.595651,0.0,0.0,2.426657
