dataset,category,synthetic,kernel,N,gpu,timing_regime,launch_id,is_primary,profiled_kernel,duration_us,tc_pipe_pct,achieved_occupancy_pct,dram_throughput_pct,sm_throughput_pct,mem_workload_pct,dram_bytes,cuda_core_flops,cuda_core_achieved_gflops,cuda_core_pct_fp32_peak,cuda_core_ai_flop_per_byte,hmma_insts,flop_rate_scope,stall_barrier,stall_branch_resolving,stall_dispatch_stall,stall_drain,stall_imc_miss,stall_lg_throttle,stall_long_scoreboard,stall_math_pipe_throttle,stall_membar,stall_mio_throttle,stall_misc,stall_no_instruction,stall_not_selected,stall_selected,stall_short_scoreboard,stall_sleeping,stall_tex_throttle,stall_wait
ogbn-products,Dense Large-Scale,False,SEGMENT_HYBRID,128,0,warm execute-only; plan built before NVTX range,1,False,"<unnamed>::segment_hybrid_cuda_short_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",27399.328,0.0,33.43229,94.388973,9.321326,94.388973,23565704000.0,11844550656.0,432.29347289101395,1.214990086821287,0.5026181545860035,0,CUDA-core counters; HMMA reported separately,0.0,0.040317,0.100119,0.017568,0.001102,0.000239,57.573462,0.040302,0.0,2e-06,0.002738,0.052041,0.048635,1.0,0.132722,0.0,0.0,1.079885
ogbn-products,Dense Large-Scale,False,SEGMENT_HYBRID,128,0,warm execute-only; plan built before NVTX range,2,True,"<unnamed>::segment_hybrid_cuda_long_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",30760.992000000002,0.0,82.902256,85.37407,7.877549,85.37407,23897643000.0,12005056512.0,390.2688350232658,1.0968769955684818,0.5023531614393938,0,CUDA-core counters; HMMA reported separately,103.703552,0.170743,0.09638,0.007669,0.001497,9.4e-05,14.758836,0.103064,0.0,0.005112,3e-06,0.106189,0.144527,1.0,0.267317,0.0,0.0,1.750512
ogbn-products,Dense Large-Scale,False,SEGMENT_HYBRID,128,0,warm execute-only; plan built before NVTX range,3,False,"<unnamed>::segment_hybrid_cuda_residual_vec4_kernel(const int *, const float *, const float *, float *, const int *, const int *, const int *, int, int)",20991.616,0.0,33.696466,94.045689,9.556783,94.045689,17992434000.0,8123835392.0,387.00381104532397,1.087700424523114,0.4515139748185265,0,CUDA-core counters; HMMA reported separately,0.0,0.114316,0.164091,0.094448,0.001088,0.001426,45.775813,0.048384,0.0,5.1e-05,0.008441,0.100745,0.064458,1.0,0.37106,0.0,0.0,1.681251
